"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$329,900","3 bds","2 ba","1,536 sqft","https://www.zillow.com/homedetails/509-Coleman-Rd-Middletown-CT-06457/57862263_zpid/","**Charming 3 BR / 2 BA Ranch now available in sought after area of Middletown!** This 1500+ square foot ranch has been updated with newer kitchen, bathroom, roof, septic and windows! There is nothing to do except move in and decorate. The large, oversized granite countertop peninsula is perfect for family dining, baking and entertaining. The heated porch with old-style dutch door is perfect for a playroom, office or sitting area. The additional 800 square feet of freshly painted, walkout basement is ready for your finishing touches! The one-acre lot comes with an adorable Gazebo and outdoor fireplace. This home is just waiting for you to move in, and make it your own!","SingleFamily","1957","48,787 sqft"
"$436,000","4 bds","3 ba","6,152 sqft","https://www.zillow.com/homedetails/0-Macdonough-Pl-Middletown-CT-06457/2097873725_zpid/","A remarkable home in exceptional condition and location is ready for your downtown lifestyle. Take a moment to view this 3 level English Tudor within walking distance to the South Green and all of our downtown attractions and amenities. Each floor is uniquely different with stunning decor and a great amount of square footage. It is currently a private home, however, it has been used as a residence and a professional Doctors' office. It is located in a MX zone which allows a great potential for multiple possibilities such as a large home, private office or a studio/office and the income from renting the second and third floor as a very large 3/4 bedroom apartment. Each room is in exquisite condition. Newer mechanicals add great value to this property. Close to shopping, downtown restaurants and venues, it's a perfect location for a city lifestyle. It's location is easy access to major highways, dining and entertainment. Located across the street from Middlesex Hospital and several blocks from Wesleyan University you will want to take a moment to view. It’s classic styling and lovely decor are similar to attractive townhomes that you will find in the metropolitan communities that are unique to New England. Imagine your lifestyle on Park Avenue in Manhattan with a Middletown address.","SingleFamily","1920","4,356 sqft"
"$749,900","4 bds","4 ba","3,518 sqft","https://www.zillow.com/homedetails/3-Training-Hill-Rd-Middletown-CT-06457/2073348923_zpid/","UNDER CONSTRUCTION. One floor living at its finest! This custom built house will blow you away! Over 2800 s/ft in the main living area with 3 bedroom, 2.5 baths, Master bedroom with amazing en suite, and a huge Great Room that's open to the kitchen and dining room.  If that's not enough, there's also an in-law apartment with its own separate entrance that has an additional bedroom with walk - in closet, full bath, living room, kitchen and laundry!  There's still time to pick your finishes! Enjoy the back yard with views of the reservoir and country style living all while being minutes away from all Middletown has to offer!","SingleFamily","2021","49,658 sqft"
"$585,000","5 bds","4 ba","4,281 sqft","https://www.zillow.com/homedetails/92-Pheasant-Dr-Middletown-CT-06457/61806010_zpid/","Imagine enjoying your morning beverage on the serene back deck, watching the sunrise, overlooking a private back yard with an amazing view!  That is what you will be able to do when you move into this 3,300+ home, with almost 1000 square feet of finished basement space,  Bedrooms, 3 Full baths, and 3-car garage. A traditional colonial floor plan provides an oversized living room with real woodburing fireplace, directly off the kitchen. The formal dining and a first floor bedroom and adjacent full bath round out the first floor. The upper level Master Suite includes a large, updated full Bath and finished attic space which would make for a great office, second large closet, or storage area. Three additional bedrooms and another full bath provide ample space for family or friends to visit. The finished basement area includes a half bath, plumbed for a tub or shower, kitchenette and family room area. The upgraded insulation in the walls ensure that the Central air, Propane for the basement gas fireplace, and oil heat run at peak efficiency to lower cooling and heating costs. There is a Hot-Tub as well as Generator Hookup.  Don't miss the convenient in-kitchen Central Vac feature that eliminates the need to sweep or use a dust pan!   This well-cared for home is on a private cul-de-sac road and is ready to be SOLD!","SingleFamily","2003","40,075 sqft"
"$459,900","4 bds","3 ba","2,680 sqft","https://www.zillow.com/homedetails/37-Nathan-Hale-Rd-Middletown-CT-06457/2076643327_zpid/","TO BE BUILT - NEW SUBDIVISION IN MIDDLETOWN, CT - PICK YOUR LOT AND YOUR HOUSE PLAN - MANY PLANS AVAILABLE - MAKE AN APPOINTMENT TODAY WITH OUR BUILDER TO GET STARTED ON DESIGNING YOUR NEW HOME.","SingleFamily","2021","13,068 sqft"
"$479,900","3 bds","3 ba","2,108 sqft","https://www.zillow.com/homedetails/31-Nathan-Hale-Rd-Middletown-CT-06457/2076643590_zpid/","TO BE BUILT - New Construction To Start Spring 2021 - Pick Your Lot On This New Culdesac in Middletown Ct Today. Many Plans Available.","SingleFamily","2021","11,761 sqft"
"$342,900","2 bds","2 ba","1,300 sqft","https://www.zillow.com/homedetails/163-Webster-Ln-2-32-Middletown-CT-06457/2076744576_zpid/","Come see what Carefree Living is all about at Middletown's Premier 55+ Active Adult Community located in the desirable Westfield Section of Middletown. This stunning home is UNDER CONSTRUCTION. Natural Gas Heat and Central A/C. Agent/Owner realted. Photos similar to home being built.","SingleFamily","2021","No Data"
"$339,900","3 bds","3 ba","1,560 sqft","https://www.zillow.com/homedetails/32-Nathan-Hale-Rd-Middletown-CT-06457/2076643905_zpid/","TO BE BUILT - New Construction To Start Spring 2021 - Pick Your Lot On This New Culdesac in Middletown CT Today. Many Plans Available. PHOTOS ARE OF HOME BUILT RECENTLY ON ANOTHER LOT.","SingleFamily","2021","7,405 sqft"
"$339,900","3 bds","2 ba","1,680 sqft","https://www.zillow.com/homedetails/30-Nathan-Hale-Rd-Middletown-CT-06457/200422576_zpid/","TO BE BUILT - NEW CONSTRUCTION TO START SPRING 2021 - PICK YOUR LOT ON THIS NEW CULDESAC IN MIDDLETOWN CT TODAY. MANY PLANS AVAILABLE. PHOTOS ARE OF RECENTLY BUILT MODELS OFFSITE.","SingleFamily","2021","7,405 sqft"
"$25,000","-- bds","-- ba","-- sqft","https://www.zillow.com/homedetails/6-Silver-St-Middletown-CT-06457/57864428_zpid/","50 x 103 Commercial lot in a TD zone.  Level approved building lot with great potential.  It can be used for parking for business in close proximity as well as a great location to put up a small building.  The lot has front/ side / rear setbacks at only 10' so come with your imagination.  Priced to sell immediately.","Unknown","No Data","Lot size: 0.12 Acres Lot features: Open Lot, Urban"
"$359,900","3 bds","3 ba","1,900 sqft","https://www.zillow.com/homedetails/34-Nathan-Hale-Rd-Middletown-CT-06457/2076643806_zpid/","TO BE BUILT - New Construction To Start Spring 2021 - Pick Your Lot On This New Culdesac in Middletown Ct Today. Many Plans Available. PHOTOS OF HOME FILE.","SingleFamily","2021","7,405 sqft"
"$225,000","3 bds","1 ba","960 sqft","https://www.zillow.com/homedetails/124-Hickory-Cir-Middletown-CT-06457/57867588_zpid/","Just in time to enjoy your new home for the summer.  Barbeque on your deck, take in the outdoors in the cozy or enjoy your favorite activity in this very large open yard.  This bedroom ranch offers hardwood floors throughout.  Updated kitchen with granite and updated bathroom.Sunroom sq footage is not included so add more living space to what is stated, so add another 230 sq ft.  Large dry basement area is perfect for storage or suitable to finish. New shed for outdoor storage. Don't miss your opportunity - schedule your showing now!","SingleFamily","1961","20,473 sqft"
"$359,900","3 bds","3 ba","1,900 sqft","https://www.zillow.com/homedetails/35-Nathan-Hale-Rd-Middletown-CT-06457/2076643412_zpid/","TO BE BUILT - New Construction To Start Spring 2021 - Pick Your Lot On This New Culdesac in Middletown Ct Today. Many Plans Available.","SingleFamily","2021","7,405 sqft"
"$357,900","2 bds","2 ba","1,300 sqft","https://www.zillow.com/homedetails/160-Webster-Ln-2-Middletown-CT-06457/2076754130_zpid/","Founders Ridge - NEW MODEL Home -  this Stunning home TO BE BUILT located in new Active Adult Community in desirable Westfield area! Lovely wood kitchen cabinets, hardwood floors in living areas, tile in baths and laundry!! NATURAL GAS heat and AC. Come visit us- Friday through Sunday 1-3pm. Agent/Owner related. Photos similar. Come see why our motto is : "" Choose a Carefree Lifestyle"".","SingleFamily","2021","No Data"
"$409,900","2 bds","2 ba","1,400 sqft","https://www.zillow.com/homedetails/162-Webster-Ln-2-1-Middletown-CT-06457/2076708102_zpid/","PHASE II NOW OPEN!!!! NEW MODEL the ""STOW""  1,400 square feet-9 foot ceilings ,Front bay, Premium unit. Enjoy the views from your rear deck on this desirable corner lot. Tile in baths and laundry. Walk-in master closet. Natural Gas and central A/C. Visit this completed and decorated unit Fridays - Sundays 1 - 3 PM.  Building prices escalating! Come see this beautiful unit before additional price increases- this home can not be reproduced for this price!  Photos similar. Agent/Owner related.","SingleFamily","2020","No Data"
